Date;Bullish
24/7/1987;36,0%
31/7/1987;26,0%
7/8/1987;56,0%
14/8/1987;45,0%
21/8/1987;66,0%
28/8/1987;52,0%
4/9/1987;42,0%
11/9/1987;50,0%
18/9/1987;60,0%
25/9/1987;53,0%
2/10/1987;44,0%
9/10/1987;46,0%
16/10/1987;37,0%
23/10/1987;39,0%
30/10/1987;44,0%
6/11/1987;47,0%
13/11/1987;31,0%
20/11/1987;39,0%
27/11/1987;27,0%
4/12/1987;25,0%
11/12/1987;23,0%
18/12/1987;33,0%
24/12/1987;28,0%
31/12/1987;25,0%
8/1/1988;34,0%
15/1/1988;34,0%
22/1/1988;21,0%
29/1/1988;26,0%
5/2/1988;32,0%
12/2/1988;32,0%
19/2/1988;27,0%
26/2/1988;30,0%
4/3/1988;38,0%
11/3/1988;43,0%
18/3/1988;41,0%
25/3/1988;45,0%
1/4/1988;35,0%
8/4/1988;33,0%
15/4/1988;23,0%
22/4/1988;23,0%
29/4/1988;22,0%
6/5/1988;38,0%
13/5/1988;19,0%
20/5/1988;23,0%
27/5/1988;28,0%
3/6/1988;26,0%
10/6/1988;28,0%
17/6/1988;29,0%
24/6/1988;33,0%
1/7/1988;45,0%
8/7/1988;35,0%
15/7/1988;26,0%
22/7/1988;16,0%
29/7/1988;23,0%
5/8/1988;21,0%
12/8/1988;26,0%
19/8/1988;19,0%
26/8/1988;28,0%
2/9/1988;18,0%
9/9/1988;17,0%
16/9/1988;24,0%
23/9/1988;20,0%
30/9/1988;26,0%
7/10/1988;13,0%
14/10/1988;22,0%
21/10/1988;26,0%
28/10/1988;40,0%
4/11/1988;35,0%
11/11/1988;23,0%
18/11/1988;30,0%
25/11/1988;17,0%
2/12/1988;19,0%
9/12/1988;17,0%
16/12/1988;24,0%
23/12/1988;22,0%
30/12/1988;24,0%
6/1/1989;26,0%
13/1/1989;36,0%
20/1/1989;36,0%
27/1/1989;32,0%
3/2/1989;33,0%
10/2/1989;43,0%
17/2/1989;42,0%
24/2/1989;29,0%
3/3/1989;29,0%
10/3/1989;13,0%
17/3/1989;28,0%
23/3/1989;29,0%
31/3/1989;18,0%
7/4/1989;23,0%
14/4/1989;25,0%
21/4/1989;21,0%
28/4/1989;31,0%
5/5/1989;30,0%
12/5/1989;38,0%
19/5/1989;43,0%
26/5/1989;48,0%
2/6/1989;42,0%
9/6/1989;43,0%
16/6/1989;32,0%
23/6/1989;33,0%
30/6/1989;40,0%
7/7/1989;37,0%
14/7/1989;22,0%
21/7/1989;32,0%
28/7/1989;41,0%
4/8/1989;35,0%
11/8/1989;53,0%
18/8/1989;35,0%
25/8/1989;45,0%
1/9/1989;34,0%
8/9/1989;30,0%
15/9/1989;31,0%
22/9/1989;24,0%
29/9/1989;33,0%
6/10/1989;24,0%
13/10/1989;28,0%
20/10/1989;39,0%
27/10/1989;36,0%
3/11/1989;37,0%
10/11/1989;27,0%
17/11/1989;24,0%
22/11/1989;27,0%
1/12/1989;28,0%
8/12/1989;31,0%
15/12/1989;42,0%
22/12/1989;36,0%
29/12/1989;35,0%
5/1/1990;40,0%
12/1/1990;45,0%
19/1/1990;31,0%
26/1/1990;24,0%
2/2/1990;15,0%
9/2/1990;19,0%
16/2/1990;23,0%
23/2/1990;24,0%
2/3/1990;21,0%
9/3/1990;22,0%
16/3/1990;25,0%
23/3/1990;37,0%
30/3/1990;34,0%
6/4/1990;38,0%
12/4/1990;27,0%
20/4/1990;34,0%
27/4/1990;28,0%
4/5/1990;20,0%
11/5/1990;28,0%
18/5/1990;37,0%
25/5/1990;39,0%
1/6/1990;37,0%
8/6/1990;35,0%
15/6/1990;43,0%
22/6/1990;34,0%
29/6/1990;31,0%
6/7/1990;28,0%
13/7/1990;40,0%
20/7/1990;40,0%
27/7/1990;52,0%
3/8/1990;26,0%
10/8/1990;25,0%
17/8/1990;18,0%
24/8/1990;25,0%
31/8/1990;23,0%
7/9/1990;33,0%
14/9/1990;16,0%
21/9/1990;13,0%
28/9/1990;26,0%
5/10/1990;15,0%
12/10/1990;21,0%
19/10/1990;13,0%
26/10/1990;23,0%
2/11/1990;20,0%
9/11/1990;20,0%
16/11/1990;12,0%
21/11/1990;16,0%
30/11/1990;22,0%
7/12/1990;26,0%
14/12/1990;31,0%
21/12/1990;16,0%
28/12/1990;30,0%
4/1/1991;31,0%
11/1/1991;22,0%
18/1/1991;22,0%
25/1/1991;25,0%
1/2/1991;29,0%
8/2/1991;36,0%
15/2/1991;46,0%
22/2/1991;57,0%
1/3/1991;50,0%
8/3/1991;50,0%
15/3/1991;55,0%
22/3/1991;42,0%
29/3/1991;47,0%
5/4/1991;58,0%
12/4/1991;43,0%
19/4/1991;39,0%
26/4/1991;55,0%
3/5/1991;39,0%
10/5/1991;38,0%
17/5/1991;42,0%
24/5/1991;38,0%
31/5/1991;42,0%
7/6/1991;46,0%
14/6/1991;47,0%
21/6/1991;44,0%
28/6/1991;28,0%
3/7/1991;28,0%
12/7/1991;41,0%
19/7/1991;27,0%
26/7/1991;35,0%
2/8/1991;33,0%
9/8/1991;26,0%
16/8/1991;37,0%
23/8/1991;32,0%
30/8/1991;41,0%
6/9/1991;36,0%
13/9/1991;43,0%
20/9/1991;32,0%
27/9/1991;31,0%
4/10/1991;35,0%
11/10/1991;39,0%
18/10/1991;30,0%
25/10/1991;31,0%
1/11/1991;52,0%
8/11/1991;32,0%
15/11/1991;38,0%
22/11/1991;48,0%
27/11/1991;33,0%
6/12/1991;23,0%
13/12/1991;33,0%
20/12/1991;36,0%
27/12/1991;39,0%
3/1/1992;49,0%
10/1/1992;48,0%
17/1/1992;51,0%
24/1/1992;46,0%
31/1/1992;47,0%
7/2/1992;36,0%
14/2/1992;46,0%
21/2/1992;47,0%
28/2/1992;43,0%
6/3/1992;45,0%
13/3/1992;38,0%
20/3/1992;48,0%
27/3/1992;43,0%
3/4/1992;35,0%
10/4/1992;43,0%
17/4/1992;37,0%
24/4/1992;52,0%
1/5/1992;29,0%
8/5/1992;43,0%
15/5/1992;40,0%
22/5/1992;48,0%
29/5/1992;41,0%
5/6/1992;41,0%
12/6/1992;31,0%
19/6/1992;35,0%
26/6/1992;39,0%
2/7/1992;21,0%
9/7/1992;23,0%
17/7/1992;29,0%
24/7/1992;32,0%
31/7/1992;22,0%
5/8/1992;28,0%
14/8/1992;26,0%
21/8/1992;22,0%
28/8/1992;30,0%
4/9/1992;14,0%
11/9/1992;22,0%
18/9/1992;21,0%
25/9/1992;25,0%
2/10/1992;30,0%
9/10/1992;21,0%
16/10/1992;20,0%
23/10/1992;21,0%
30/10/1992;35,0%
6/11/1992;49,0%
13/11/1992;37,0%
20/11/1992;48,0%
25/11/1992;43,0%
4/12/1992;37,0%
11/12/1992;43,0%
18/12/1992;63,0%
24/12/1992;55,0%
1/1/1993;60,0%
8/1/1993;20,0%
15/1/1993;54,0%
22/1/1993;41,0%
29/1/1993;40,0%
5/2/1993;44,0%
12/2/1993;47,0%
19/2/1993;46,0%
26/2/1993;34,0%
5/3/1993;27,0%
12/3/1993;45,0%
19/3/1993;41,0%
26/3/1993;43,0%
2/4/1993;37,0%
9/4/1993;32,0%
16/4/1993;31,0%
23/4/1993;28,0%
30/4/1993;22,0%
7/5/1993;21,0%
14/5/1993;20,0%
21/5/1993;21,0%
28/5/1993;24,0%
4/6/1993;33,0%
11/6/1993;23,0%
18/6/1993;22,0%
25/6/1993;28,0%
2/7/1993;18,0%
9/7/1993;21,0%
16/7/1993;22,0%
23/7/1993;24,0%
30/7/1993;25,0%
6/8/1993;26,0%
13/8/1993;25,0%
20/8/1993;29,0%
27/8/1993;27,0%
3/9/1993;38,0%
10/9/1993;30,0%
17/9/1993;32,0%
24/9/1993;28,0%
1/10/1993;26,0%
8/10/1993;29,0%
15/10/1993;31,0%
22/10/1993;42,0%
29/10/1993;43,0%
4/11/1993;32,0%
11/11/1993;35,0%
18/11/1993;34,0%
24/11/1993;45,0%
2/12/1993;33,0%
9/12/1993;37,0%
16/12/1993;33,0%
23/12/1993;36,0%
30/12/1993;44,0%
6/1/1994;40,0%
13/1/1994;38,0%
20/1/1994;48,0%
27/1/1994;41,0%
3/2/1994;38,0%
10/2/1994;49,0%
17/2/1994;40,0%
24/2/1994;41,0%
3/3/1994;31,0%
10/3/1994;29,0%
17/3/1994;24,0%
24/3/1994;29,0%
31/3/1994;23,0%
7/4/1994;28,0%
14/4/1994;29,0%
21/4/1994;26,0%
28/4/1994;27,0%
5/5/1994;32,0%
12/5/1994;38,0%
19/5/1994;22,0%
26/5/1994;29,0%
2/6/1994;39,0%
9/6/1994;28,0%
16/6/1994;32,0%
23/6/1994;29,0%
30/6/1994;32,0%
7/7/1994;28,0%
14/7/1994;25,0%
21/7/1994;34,0%
28/7/1994;27,0%
4/8/1994;22,0%
11/8/1994;34,0%
18/8/1994;30,0%
25/8/1994;32,0%
1/9/1994;43,0%
8/9/1994;47,0%
15/9/1994;45,0%
22/9/1994;37,0%
29/9/1994;38,0%
6/10/1994;33,0%
13/10/1994;35,0%
20/10/1994;39,0%
27/10/1994;43,0%
3/11/1994;40,0%
10/11/1994;37,0%
17/11/1994;39,0%
23/11/1994;39,0%
30/11/1994;44,0%
8/12/1994;30,0%
15/12/1994;33,0%
22/12/1994;42,0%
29/12/1994;40,0%
5/1/1995;44,0%
12/1/1995;36,0%
19/1/1995;37,0%
26/1/1995;38,0%
2/2/1995;38,0%
9/2/1995;34,0%
16/2/1995;43,0%
23/2/1995;46,0%
2/3/1995;53,0%
9/3/1995;48,0%
16/3/1995;39,0%
23/3/1995;47,0%
30/3/1995;52,0%
6/4/1995;42,0%
13/4/1995;40,0%
20/4/1995;37,0%
27/4/1995;52,0%
4/5/1995;42,0%
11/5/1995;44,0%
18/5/1995;42,0%
25/5/1995;44,0%
1/6/1995;39,0%
8/6/1995;44,0%
15/6/1995;36,0%
22/6/1995;48,0%
29/6/1995;35,0%
6/7/1995;35,0%
13/7/1995;44,0%
20/7/1995;43,0%
27/7/1995;41,0%
3/8/1995;38,0%
10/8/1995;40,0%
17/8/1995;36,0%
24/8/1995;35,0%
31/8/1995;38,0%
7/9/1995;37,0%
14/9/1995;46,0%
21/9/1995;46,0%
28/9/1995;42,0%
5/10/1995;39,0%
12/10/1995;41,0%
19/10/1995;47,0%
26/10/1995;46,0%
2/11/1995;47,0%
9/11/1995;49,0%
16/11/1995;46,0%
22/11/1995;48,0%
30/11/1995;51,0%
7/12/1995;48,0%
14/12/1995;51,0%
21/12/1995;48,0%
28/12/1995;46,0%
4/1/1996;55,0%
11/1/1996;#N/A
18/1/1996;42,0%
25/1/1996;36,0%
1/2/1996;54,0%
8/2/1996;53,0%
15/2/1996;54,0%
22/2/1996;49,0%
29/2/1996;45,0%
7/3/1996;44,0%
14/3/1996;36,0%
21/3/1996;47,0%
28/3/1996;45,0%
4/4/1996;40,0%
11/4/1996;40,0%
18/4/1996;36,0%
25/4/1996;28,0%
2/5/1996;48,0%
9/5/1996;46,0%
16/5/1996;37,0%
23/5/1996;51,0%
30/5/1996;61,0%
6/6/1996;47,0%
13/6/1996;49,0%
20/6/1996;42,0%
27/6/1996;42,0%
3/7/1996;32,0%
11/7/1996;40,0%
18/7/1996;29,0%
25/7/1996;30,0%
1/8/1996;29,0%
8/8/1996;27,0%
15/8/1996;43,0%
22/8/1996;28,0%
29/8/1996;28,0%
5/9/1996;29,0%
12/9/1996;26,0%
19/9/1996;28,0%
26/9/1996;34,0%
3/10/1996;40,0%
10/10/1996;38,0%
17/10/1996;39,0%
24/10/1996;42,0%
31/10/1996;37,0%
7/11/1996;26,0%
14/11/1996;37,0%
21/11/1996;43,0%
27/11/1996;52,0%
5/12/1996;41,0%
12/12/1996;40,0%
19/12/1996;33,0%
26/12/1996;37,0%
2/1/1997;43,0%
9/1/1997;36,0%
16/1/1997;42,0%
23/1/1997;37,0%
30/1/1997;51,0%
6/2/1997;47,0%
13/2/1997;45,0%
20/2/1997;44,0%
27/2/1997;63,0%
6/3/1997;43,0%
13/3/1997;34,0%
20/3/1997;36,0%
27/3/1997;27,0%
3/4/1997;29,0%
10/4/1997;26,0%
17/4/1997;31,0%
24/4/1997;28,0%
1/5/1997;27,0%
8/5/1997;30,0%
15/5/1997;41,0%
22/5/1997;40,0%
29/5/1997;40,0%
5/6/1997;52,0%
12/6/1997;49,0%
19/6/1997;59,0%
26/6/1997;52,0%
3/7/1997;45,0%
10/7/1997;49,0%
17/7/1997;54,0%
24/7/1997;53,0%
31/7/1997;48,0%
7/8/1997;49,0%
14/8/1997;49,0%
21/8/1997;47,0%
28/8/1997;50,0%
4/9/1997;37,0%
11/9/1997;42,0%
18/9/1997;40,0%
25/9/1997;39,0%
2/10/1997;38,0%
9/10/1997;43,0%
16/10/1997;43,0%
23/10/1997;40,0%
30/10/1997;41,0%
6/11/1997;38,0%
13/11/1997;45,0%
20/11/1997;40,0%
26/11/1997;40,0%
4/12/1997;49,0%
11/12/1997;46,0%
18/12/1997;40,0%
24/12/1997;41,0%
31/12/1997;34,0%
8/1/1998;42,0%
16/1/1998;38,0%
23/1/1998;31,0%
30/1/1998;38,0%
5/2/1998;30,0%
12/2/1998;45,0%
19/2/1998;42,0%
26/2/1998;53,0%
5/3/1998;53,0%
12/3/1998;44,0%
19/3/1998;40,0%
26/3/1998;45,0%
2/4/1998;46,0%
9/4/1998;41,0%
16/4/1998;53,0%
23/4/1998;40,0%
30/4/1998;44,0%
7/5/1998;43,0%
14/5/1998;33,0%
21/5/1998;38,0%
28/5/1998;34,0%
4/6/1998;25,0%
11/6/1998;27,0%
18/6/1998;29,0%
25/6/1998;28,0%
2/7/1998;33,0%
9/7/1998;36,0%
16/7/1998;35,0%
23/7/1998;37,0%
30/7/1998;44,0%
6/8/1998;30,0%
13/8/1998;27,0%
20/8/1998;25,0%
27/8/1998;23,0%
3/9/1998;23,0%
10/9/1998;29,0%
17/9/1998;34,0%
24/9/1998;34,0%
1/10/1998;32,0%
8/10/1998;25,0%
15/10/1998;25,0%
22/10/1998;32,0%
29/10/1998;43,0%
5/11/1998;38,0%
12/11/1998;50,0%
19/11/1998;40,0%
25/11/1998;48,0%
3/12/1998;49,0%
10/12/1998;44,0%
17/12/1998;41,0%
23/12/1998;34,0%
31/12/1998;41,0%
7/1/1999;38,0%
14/1/1999;51,0%
21/1/1999;56,0%
28/1/1999;47,0%
4/2/1999;48,0%
11/2/1999;48,0%
18/2/1999;37,0%
25/2/1999;37,0%
4/3/1999;36,0%
11/3/1999;37,0%
18/3/1999;48,0%
25/3/1999;38,0%
1/4/1999;40,0%
8/4/1999;36,0%
15/4/1999;41,0%
22/4/1999;38,0%
29/4/1999;41,0%
6/5/1999;54,0%
13/5/1999;43,0%
20/5/1999;43,0%
27/5/1999;38,0%
3/6/1999;32,0%
10/6/1999;32,0%
17/6/1999;38,0%
24/6/1999;30,0%
1/7/1999;35,0%
8/7/1999;43,0%
15/7/1999;54,0%
22/7/1999;55,0%
29/7/1999;42,0%
5/8/1999;30,0%
12/8/1999;30,0%
19/8/1999;31,0%
26/8/1999;35,0%
2/9/1999;44,0%
9/9/1999;37,0%
16/9/1999;36,0%
23/9/1999;36,0%
30/9/1999;35,0%
7/10/1999;34,0%
14/10/1999;42,0%
21/10/1999;38,0%
28/10/1999;38,0%
4/11/1999;43,0%
11/11/1999;48,0%
18/11/1999;46,0%
24/11/1999;55,0%
2/12/1999;62,0%
9/12/1999;62,0%
16/12/1999;54,0%
23/12/1999;52,0%
30/12/1999;60,0%
6/1/2000;75,0%
13/1/2000;59,3%
20/1/2000;57,1%
27/1/2000;53,7%
3/2/2000;51,1%
10/2/2000;41,9%
17/2/2000;27,3%
24/2/2000;41,4%
2/3/2000;36,7%
8/3/2000;58,3%
16/3/2000;50,0%
23/3/2000;65,7%
30/3/2000;38,9%
6/4/2000;45,8%
13/4/2000;51,9%
20/4/2000;63,7%
27/4/2000;61,3%
4/5/2000;34,8%
11/5/2000;30,2%
18/5/2000;35,3%
25/5/2000;34,9%
1/6/2000;41,7%
8/6/2000;61,5%
15/6/2000;43,8%
22/6/2000;26,7%
6/7/2000;56,1%
13/7/2000;65,0%
20/7/2000;66,7%
27/7/2000;42,9%
3/8/2000;41,3%
10/8/2000;54,1%
17/8/2000;59,4%
23/8/2000;57,7%
31/8/2000;55,9%
7/9/2000;62,5%
14/9/2000;41,2%
21/9/2000;43,8%
28/9/2000;53,3%
5/10/2000;41,9%
12/10/2000;41,5%
19/10/2000;48,9%
26/10/2000;64,1%
2/11/2000;51,6%
9/11/2000;62,9%
16/11/2000;45,8%
23/11/2000;36,5%
30/11/2000;60,4%
7/12/2000;47,1%
14/12/2000;59,6%
21/12/2000;31,1%
28/12/2000;40,0%
4/1/2001;42,6%
11/1/2001;35,7%
18/1/2001;36,6%
25/1/2001;49,2%
1/2/2001;50,0%
8/2/2001;55,6%
15/2/2001;30,4%
22/2/2001;26,3%
1/3/2001;46,0%
8/3/2001;31,6%
15/3/2001;30,9%
22/3/2001;27,8%
29/3/2001;37,3%
5/4/2001;35,1%
12/4/2001;30,3%
19/4/2001;43,8%
26/4/2001;46,6%
3/5/2001;63,5%
10/5/2001;53,3%
17/5/2001;51,8%
24/5/2001;61,9%
31/5/2001;49,4%
7/6/2001;42,6%
14/6/2001;30,5%
21/6/2001;33,3%
28/6/2001;30,4%
5/7/2001;40,7%
12/7/2001;25,3%
19/7/2001;50,0%
26/7/2001;29,5%
2/8/2001;36,4%
9/8/2001;34,9%
16/8/2001;35,4%
23/8/2001;34,5%
30/8/2001;31,4%
6/9/2001;30,3%
13/9/2001;26,7%
20/9/2001;31,1%
27/9/2001;51,1%
4/10/2001;51,2%
11/10/2001;47,4%
18/10/2001;60,6%
25/10/2001;55,9%
1/11/2001;35,0%
8/11/2001;34,6%
15/11/2001;45,5%
22/11/2001;58,3%
29/11/2001;69,3%
6/12/2001;59,2%
13/12/2001;61,4%
20/12/2001;52,5%
27/12/2001;57,7%
3/1/2002;51,1%
10/1/2002;54,8%
17/1/2002;29,6%
24/1/2002;34,7%
31/1/2002;45,5%
7/2/2002;37,5%
14/2/2002;45,2%
21/2/2002;36,4%
28/2/2002;44,4%
7/3/2002;53,3%
14/3/2002;56,5%
21/3/2002;53,2%
28/3/2002;51,2%
4/4/2002;40,5%
11/4/2002;28,2%
18/4/2002;40,2%
25/4/2002;36,7%
2/5/2002;27,0%
9/5/2002;30,3%
16/5/2002;36,8%
23/5/2002;26,2%
29/5/2002;28,3%
6/6/2002;32,8%
13/6/2002;31,8%
20/6/2002;45,7%
27/6/2002;31,0%
3/7/2002;26,6%
11/7/2002;35,1%
18/7/2002;26,3%
25/7/2002;27,9%
1/8/2002;34,2%
8/8/2002;37,7%
15/8/2002;37,9%
22/8/2002;43,8%
29/8/2002;50,0%
5/9/2002;31,5%
12/9/2002;38,4%
19/9/2002;33,8%
26/9/2002;24,5%
3/10/2002;35,2%
10/10/2002;28,9%
17/10/2002;39,5%
24/10/2002;44,6%
31/10/2002;51,5%
7/11/2002;50,0%
14/11/2002;48,7%
21/11/2002;50,6%
28/11/2002;51,1%
5/12/2002;52,9%
12/12/2002;41,4%
19/12/2002;42,9%
26/12/2002;40,0%
2/1/2003;32,4%
9/1/2003;38,1%
16/1/2003;29,2%
23/1/2003;25,0%
30/1/2003;25,5%
6/2/2003;22,9%
13/2/2003;21,9%
20/2/2003;21,1%
27/2/2003;26,0%
6/3/2003;33,3%
13/3/2003;34,3%
20/3/2003;42,9%
27/3/2003;39,4%
3/4/2003;32,4%
10/4/2003;38,5%
17/4/2003;46,3%
24/4/2003;63,0%
1/5/2003;48,6%
8/5/2003;52,8%
15/5/2003;62,8%
22/5/2003;38,5%
